,Case,Method,Sigma_Option,Sigma,Normalized,Empirical_Method,Similarity_Overlap,Distance_Euclidean,MSE_s1,KL_Divergence_s1,AIC_s1,BIC_s1,MSE_s2,KL_Divergence_s2,AIC_s2,BIC_s2
237,4,kde,r0.2,,False,counts,0.3247198575502867,11.376280039893878,0.29881648685535245,-21.086595114860256,7600.467133162796,7610.2826437207605,0.3170953625076562,-5.411283176986396,7570.035860957342,7579.851371515307
238,4,kde,r0.5,,False,kde,0.3247198575502867,11.376280039893878,0.3166301641827215,-5.415853175736939,7600.467133162796,7610.2826437207605,0.3170953625076562,-5.411283176986396,7570.035860957342,7579.851371515307
239,4,kde,r0.5,,False,counts,0.3247198575502867,11.376280039893878,0.29881648685535245,-21.086595114860256,7600.467133162796,7610.2826437207605,0.3170953625076562,-5.411283176986396,7570.035860957342,7579.851371515307
240,4,kde,0.01,,True,kde,0.8740165663762298,1.6532501915857887,0.35003387573726696,-5.211928017591376,8179.965416307996,8189.78092686596,0.3497981156768831,-5.238320805595231,8108.043131717002,8117.858642274967
241,4,kde,0.01,,True,counts,0.8740165663762298,1.6532501915857887,0.3346779915653282,-19.68270140520137,8179.965416307996,8189.78092686596,0.3497981156768831,-5.238320805595231,8108.043131717002,8117.858642274967
242,4,kde,0.1,,True,kde,0.8740165663762298,1.6532501915857887,0.35003387573726696,-5.211928017591376,8179.965416307996,8189.78092686596,0.3497981156768831,-5.238320805595231,8108.043131717002,8117.858642274967
243,4,kde,0.1,,True,counts,0.8740165663762298,1.6532501915857887,0.3346779915653282,-19.68270140520137,8179.965416307996,8189.78092686596,0.3497981156768831,-5.238320805595231,8108.043131717002,8117.858642274967
244,4,kde,0.2,,True,kde,0.8740165663762298,1.6532501915857887,0.35003387573726696,-5.211928017591376,8179.965416307996,8189.78092686596,0.3497981156768831,-5.238320805595231,8108.043131717002,8117.858642274967
245,4,kde,0.2,,True,counts,0.8740165663762298,1.6532501915857887,0.3346779915653282,-19.68270140520137,8179.965416307996,8189.78092686596,0.3497981156768831,-5.238320805595231,8108.043131717002,8117.858642274967
246,4,kde,0.5,,True,kde,0.8740165663762298,1.6532501915857887,0.35003387573726696,-5.211928017591376,8179.965416307996,8189.78092686596,0.3497981156768831,-5.238320805595231,8108.043131717002,8117.858642274967
247,4,kde,0.5,,True,counts,0.8740165663762298,1.6532501915857887,0.3346779915653282,-19.68270140520137,8179.965416307996,8189.78092686596,0.3497981156768831,-5.238320805595231,8108.043131717002,8117.858642274967
248,4,kde,r0.01,,True,kde,0.8740165663762298,1.6532501915857887,0.35003387573726696,-5.211928017591376,8179.965416307996,8189.78092686596,0.3497981156768831,-5.238320805595231,8108.043131717002,8117.858642274967
249,4,kde,r0.01,,True,counts,0.8740165663762298,1.6532501915857887,0.3346779915653282,-19.68270140520137,8179.965416307996,8189.78092686596,0.3497981156768831,-5.238320805595231,8108.043131717002,8117.858642274967
