dataset,sensor_loc,length,actual_size,sigma,sigma_value,fold,ndg_time,kde_time,ndg_memory,kde_memory,kl_divergence,chi_squared
synthetic_bimodal,bimodal,1000,1000,0.1,0.1,0,0.004292011260986328,0.002135038375854492,0.0,0.0,1.7702115747729242e-07,1.9358696058361953e-07
synthetic_bimodal,bimodal,1000,1000,0.1,0.1,1,0.004284858703613281,0.0021240711212158203,0.0,0.0,2.647859996263321e-07,2.8031868612029383e-07
synthetic_bimodal,bimodal,1000,1000,0.1,0.1,2,0.004079103469848633,0.002067089080810547,0.0,0.0,4.985567984062244e-07,5.113486393932337e-07
synthetic_bimodal,bimodal,1000,1000,0.1,0.1,3,0.0042302608489990234,0.0020580291748046875,0.046875,0.0,3.083094624429657e-07,3.2040054982883467e-07
synthetic_bimodal,bimodal,1000,1000,0.1,0.1,4,0.004172801971435547,0.002527952194213867,0.0,0.0,1.1835158348145842e-07,1.3750479671731392e-07
synthetic_bimodal,bimodal,1000,1000,0.3,0.3,0,0.00556182861328125,0.0025720596313476562,0.046875,0.0,1.1272458635266156e-07,1.1701333352241895e-07
synthetic_bimodal,bimodal,1000,1000,0.3,0.3,1,0.005486726760864258,0.0027489662170410156,0.0625,0.0,1.1074087429767421e-07,1.1499829560610243e-07
synthetic_bimodal,bimodal,1000,1000,0.3,0.3,2,0.0052337646484375,0.002396106719970703,0.140625,0.0,1.2423267820023067e-07,1.3356912282521903e-07
synthetic_bimodal,bimodal,1000,1000,0.3,0.3,3,0.005239009857177734,0.0023589134216308594,0.0,0.0,1.1956303893459715e-07,1.2444333248689514e-07
synthetic_bimodal,bimodal,1000,1000,0.3,0.3,4,0.005373954772949219,0.0023851394653320312,0.015625,0.0,5.298477090020267e-08,5.794341297946551e-08
synthetic_bimodal,bimodal,1000,1000,0.5,0.5,0,0.006636857986450195,0.0028412342071533203,0.234375,0.015625,5.592432240196509e-08,6.227745830444695e-08
synthetic_bimodal,bimodal,1000,1000,0.5,0.5,1,0.00630497932434082,0.0025627613067626953,0.046875,0.0,1.3889166349157048e-07,1.4275143002274099e-07
synthetic_bimodal,bimodal,1000,1000,0.5,0.5,2,0.006391048431396484,0.002749919891357422,0.046875,0.0,7.079876738743816e-08,8.077360110034479e-08
synthetic_bimodal,bimodal,1000,1000,0.5,0.5,3,0.006411075592041016,0.002850055694580078,0.015625,0.0,6.968977836584425e-08,7.855738047701627e-08
